ProductID,ProductName,ProductDescription,ProductGroupID,Price,StockQuantity,SupplierName,SupplierContact,ManufactureDate,ExpiryDate,WarrantyPeriod
1,Portable GPS,Wonder involve whole yard piece too.,5,310.9,0,"Wilson, Ochoa and Wilson",001-485-950-8616x650,2023-12-26,2024-03-12,21 months
2,Treadmill X,Also never leader car girl yeah.,3,73.51,14,Ibarra Inc,001-343-832-0117x270,2021-04-17,2022-02-23,16 months
3,Wireless Earbuds,Write everyone you establish international sometimes back.,15,106.57,100,"Johnson, Garner and Parker",(480)515-7578,2020-09-06,2021-06-21,22 months
4,XPhone Pro,Edge north again age.,10,43.19,22,Hines Group,574.435.6313,2024-05-15,2026-01-19,10 months
5,Inspiron 7000,Easy public trade popular.,12,57.99,91,"Rios, Evans and Ramirez",001-906-217-5413x86057,2022-12-18,2023-09-28,17 months
6,4K Curved TV,Term director yeah senior certainly stock low.,11,206.02,47,"Morales, Williams and Sampson",001-945-280-6930x58266,2020-04-06,2021-05-16,14 months
7,Electric Toothbrush,Dream position year lawyer outside and also in.,10,275.39,15,Moore PLC,390.809.6259,2021-04-24,2021-10-23,13 months
8,Car Dash Camera,Mean often exactly prevent travel.,10,44.97,19,Aguilar-Calhoun,745-355-3906x466,2020-10-30,2022-10-01,23 months
9,ZenBook Pro,Later situation throughout however pressure.,6,248.43,7,Bowman Inc,(638)599-9441,2021-06-05,2023-05-30,18 months
10,Smart Refrigerator,Teacher bill support movie.,15,261.26,44,Lopez and Sons,+1-769-332-4389x63970,2022-06-14,2023-12-25,16 months
11,Smart Refrigerator,Represent letter various floor Republican.,7,393.29,65,Armstrong and Sons,(876)882-8189,2021-04-06,2021-05-10,19 months
12,4K Curved TV,Officer American build final them statement century year.,15,474.52,49,Hicks-Gonzalez,855.525.1285x1622,2022-02-10,2023-12-11,9 months
13,Fitness Tracker X,Appear health far second.,12,109.42,47,Williams LLC,279-343-3495x12043,2020-07-07,2021-11-09,10 months
14,Bluetooth Car Kit,Lawyer appear product power continue rather interesting.,15,384.33,47,"Bauer, Herrera and Davis",3414638774,2022-12-19,2024-11-30,7 months
15,Gaming Mouse,View parent then produce.,7,130.69,2,"Jennings, Floyd and Gonzalez",6232095126,2020-07-27,2022-04-05,21 months
16,XPhone Pro,Front avoid past.,3,391.26,39,Hendricks-Torres,+1-815-803-7629x398,2020-09-10,2021-09-26,18 months
17,Inspiron 7000,Throw performance us.,9,198.01,23,"Rodriguez, Simpson and Blevins",+1-321-487-2873x4502,2023-04-02,2024-05-04,15 months
18,Smart Car Charger,Along relationship old individual instead chance western probably.,9,217.67,21,"Torres, Sullivan and Johnson",(258)939-3765x98678,2024-04-15,2025-11-18,14 months
19,Noise-Cancelling Headphones,Democrat list street evidence laugh quality.,6,476.39,89,Rogers PLC,001-292-986-2623x27079,2020-11-28,2021-03-07,16 months
